"Product name", "has_stock"
"Alice Mutton", "false"
"Aniseed Syrup", "true"
"Boston Crab Meat", "true"
"Camembert Pierrot", "true"
"Carnarvon Tigers", "true"
"Chai", "true"
"Chang", "true"
"Chartreuse verte", "true"
"Chef Anton's Cajun Seasoning", "true"
"Chef Anton's Gumbo Mix", "false"
"Chocolade", "true"
"Côte de Blaye", "true"
"Escargots de Bourgogne", "true"
"Filo Mix", "true"
"Flotemysost", "true"
"Geitost", "true"
"Genen Shouyu", "true"
"Gnocchi di nonna Alice", "true"
"Gorgonzola Telino", "false"
"Grandma's Boysenberry Spread", "true"
"Gravad lax", "true"
"Guaraná Fantástica", "true"
"Gudbrandsdalsost", "true"
"Gula Malacca", "true"
"Gumbär Gummibärchen", "true"
"Gustaf's Knäckebröd", "true"
"Ikura", "true"
"Inlagd Sill", "true"
"Ipoh Coffee", "true"
"Jack's New England Clam Chowder", "true"
"Konbu", "true"
"Lakkalikööri", "true"
"Laughing Lumberjack Lager", "true"
"Longlife Tofu", "true"
"Louisiana Fiery Hot Pepper Sauce", "true"
"Louisiana Hot Spiced Okra", "true"
"Manjimup Dried Apples", "true"
"Mascarpone Fabioli", "true"
"Maxilaku", "true"
"Mishi Kobe Niku", "true"
"Mozzarella di Giovanni", "true"
"Nord-Ost Matjeshering", "true"
"Northwoods Cranberry Sauce", "true"
"NuNuCa Nuß-Nougat-Creme", "true"
"Original Frankfurter grüne Soße", "true"
"Outback Lager", "true"
"Pavlova", "true"
"Perth Pasties", "false"
"Pâté chinois", "true"
"Queso Cabrales", "true"
"Queso Manchego La Pastora", "true"
"Raclette Courdavault", "true"
"Ravioli Angelo", "true"
"Rhönbräu Klosterbier", "true"
"Rogede sild", "true"
"Röd Kaviar", "true"
"Rössle Sauerkraut", "true"
"Sasquatch Ale", "true"
"Schoggi Schokolade", "true"
"Scottish Longbreads", "true"
"Singaporean Hokkien Fried Mee", "true"
"Sir Rodney's Marmalade", "true"
"Sir Rodney's Scones", "true"
"Sirop d'érable", "true"
"Spegesild", "true"
"Steeleye Stout", "true"
"Tarte au sucre", "true"
"Teatime Chocolate Biscuits", "true"
"Thüringer Rostbratwurst", "false"
"Tofu", "true"
"Tourtière", "true"
"Tunnbröd", "true"
"Uncle Bob's Organic Dried Pears", "true"
"Valkoinen suklaa", "true"
"Vegie-spread", "true"
"Wimmers gute Semmelknödel", "true"
"Zaanse koeken", "true"
