"Product name", "stock_bigint"
"Alice Mutton", "0"
"Aniseed Syrup", "13"
"Boston Crab Meat", "123"
"Camembert Pierrot", "19"
"Carnarvon Tigers", "42"
"Chai", "39"
"Chang", "17"
"Chartreuse verte", "69"
"Chef Anton's Cajun Seasoning", "53"
"Chef Anton's Gumbo Mix", "0"
"Chocolade", "15"
"Côte de Blaye", "17"
"Escargots de Bourgogne", "62"
"Filo Mix", "38"
"Flotemysost", "26"
"Geitost", "112"
"Genen Shouyu", "39"
"Gnocchi di nonna Alice", "21"
"Gorgonzola Telino", "0"
"Grandma's Boysenberry Spread", "120"
"Gravad lax", "11"
"Guaraná Fantástica", "20"
"Gudbrandsdalsost", "26"
"Gula Malacca", "27"
"Gumbär Gummibärchen", "15"
"Gustaf's Knäckebröd", "104"
"Ikura", "31"
"Inlagd Sill", "112"
"Ipoh Coffee", "17"
"Jack's New England Clam Chowder", "85"
"Konbu", "24"
"Lakkalikööri", "57"
"Laughing Lumberjack Lager", "52"
"Longlife Tofu", "4"
"Louisiana Fiery Hot Pepper Sauce", "76"
"Louisiana Hot Spiced Okra", "4"
"Manjimup Dried Apples", "20"
"Mascarpone Fabioli", "9"
"Maxilaku", "10"
"Mishi Kobe Niku", "29"
"Mozzarella di Giovanni", "14"
"Nord-Ost Matjeshering", "10"
"Northwoods Cranberry Sauce", "6"
"NuNuCa Nuß-Nougat-Creme", "76"
"Original Frankfurter grüne Soße", "32"
"Outback Lager", "15"
"Pavlova", "29"
"Perth Pasties", "0"
"Pâté chinois", "115"
"Queso Cabrales", "22"
"Queso Manchego La Pastora", "86"
"Raclette Courdavault", "79"
"Ravioli Angelo", "36"
"Rhönbräu Klosterbier", "125"
"Rogede sild", "5"
"Röd Kaviar", "101"
"Rössle Sauerkraut", "26"
"Sasquatch Ale", "111"
"Schoggi Schokolade", "49"
"Scottish Longbreads", "6"
"Singaporean Hokkien Fried Mee", "26"
"Sir Rodney's Marmalade", "40"
"Sir Rodney's Scones", "3"
"Sirop d'érable", "113"
"Spegesild", "95"
"Steeleye Stout", "20"
"Tarte au sucre", "17"
"Teatime Chocolate Biscuits", "25"
"Thüringer Rostbratwurst", "0"
"Tofu", "35"
"Tourtière", "21"
"Tunnbröd", "61"
"Uncle Bob's Organic Dried Pears", "15"
"Valkoinen suklaa", "65"
"Vegie-spread", "24"
"Wimmers gute Semmelknödel", "22"
"Zaanse koeken", "36"
