"Id", "Name", "region_or_country"
"ALFKI", "Alfreds Futterkiste", "Germany"
"ANATR", "Ana Trujillo Emparedados y helados", "Mexico"
"ANTON", "Antonio Moreno Taquería", "Mexico"
"AROUT", "Around the Horn", "UK"
"BERGS", "Berglunds snabbköp", "Sweden"
"BLAUS", "Blauer See Delikatessen", "Germany"
"BLONP", "Blondesddsl père et fils", "France"
"BOLID", "Bólido Comidas preparadas", "Spain"
"BONAP", "Bon app'", "France"
"BOTTM", "Bottom-Dollar Markets", "BC"
"BSBEV", "B's Beverages", "UK"
"CACTU", "Cactus Comidas para llevar", "Argentina"
"CENTC", "Centro comercial Moctezuma", "Mexico"
"CHOPS", "Chop-suey Chinese", "Switzerland"
"COMMI", "Comércio Mineiro", "SP"
"CONSH", "Consolidated Holdings", "UK"
"DRACD", "Drachenblut Delikatessen", "Germany"
"DUMON", "Du monde entier", "France"
"EASTC", "Eastern Connection", "UK"
"ERNSH", "Ernst Handel", "Austria"
"FAMIA", "Familia Arquibaldo", "SP"
"FISSA", "FISSA Fabrica Inter. Salchichas S.A.", "Spain"
"FOLIG", "Folies gourmandes", "France"
"FOLKO", "Folk och fä HB", "Sweden"
"FRANK", "Frankenversand", "Germany"
"FRANR", "France restauration", "France"
"FRANS", "Franchi S.p.A.", "Italy"
"FURIB", "Furia Bacalhau e Frutos do Mar", "Portugal"
"GALED", "Galería del gastrónomo", "Spain"
"GODOS", "Godos Cocina Típica", "Spain"
"GOURL", "Gourmet Lanchonetes", "SP"
"GREAL", "Great Lakes Food Market", "OR"
"GROSR", "GROSELLA-Restaurante", "DF"
"HANAR", "Hanari Carnes", "RJ"
"HILAA", "HILARION-Abastos", "Táchira"
"HUNGC", "Hungry Coyote Import Store", "OR"
"HUNGO", "Hungry Owl All-Night Grocers", "Co. Cork"
"ISLAT", "Island Trading", "Isle of Wight"
"KOENE", "Königlich Essen", "Germany"
"LACOR", "La corne d'abondance", "France"
"LAMAI", "La maison d'Asie", "France"
"LAUGB", "Laughing Bacchus Wine Cellars", "BC"
"LAZYK", "Lazy K Kountry Store", "WA"
"LEHMS", "Lehmanns Marktstand", "Germany"
"LETSS", "Let's Stop N Shop", "CA"
"LILAS", "LILA-Supermercado", "Lara"
"LINOD", "LINO-Delicateses", "Nueva Esparta"
"LONEP", "Lonesome Pine Restaurant", "OR"
"MAGAA", "Magazzini Alimentari Riuniti", "Italy"
"MAISD", "Maison Dewey", "Belgium"
"MEREP", "Mère Paillarde", "Québec"
"MORGK", "Morgenstern Gesundkost", "Germany"
"NORTS", "North/South", "UK"
"OCEAN", "Océano Atlántico Ltda.", "Argentina"
"OLDWO", "Old World Delicatessen", "AK"
"OTTIK", "Ottilies Käseladen", "Germany"
"PARIS", "Paris spécialités", "France"
"PERIC", "Pericles Comidas clásicas", "Mexico"
"PICCO", "Piccolo und mehr", "Austria"
"PRINI", "Princesa Isabel Vinhos", "Portugal"
"QUEDE", "Que Delícia", "RJ"
"QUEEN", "Queen Cozinha", "SP"
"QUICK", "QUICK-Stop", "Germany"
"RANCH", "Rancho grande", "Argentina"
"RATTC", "Rattlesnake Canyon Grocery", "NM"
"REGGC", "Reggiani Caseifici", "Italy"
"RICAR", "Ricardo Adocicados", "RJ"
"RICSU", "Richter Supermarkt", "Switzerland"
"ROMEY", "Romero y tomillo", "Spain"
"SANTG", "Santé Gourmet", "Norway"
"SAVEA", "Save-a-lot Markets", "ID"
"SEVES", "Seven Seas Imports", "UK"
"SIMOB", "Simons bistro", "Denmark"
"SPECD", "Spécialités du monde", "France"
"SPLIR", "Split Rail Beer & Ale", "WY"
"SUPRD", "Suprêmes délices", "Belgium"
"THEBI", "The Big Cheese", "OR"
"THECR", "The Cracker Box", "MT"
"TOMSP", "Toms Spezialitäten", "Germany"
"TORTU", "Tortuga Restaurante", "Mexico"
"TRADH", "Tradição Hipermercados", "SP"
"TRAIH", "Trail's Head Gourmet Provisioners", "WA"
"VAFFE", "Vaffeljernet", "Denmark"
"VICTE", "Victuailles en stock", "France"
"VINET", "Vins et alcools Chevalier", "France"
"WANDK", "Die Wandernde Kuh", "Germany"
"WARTH", "Wartian Herkku", "Finland"
"WELLI", "Wellington Importadora", "SP"
"WHITC", "White Clover Markets", "WA"
"WILMK", "Wilman Kala", "Finland"
"WOLZA", "Wolski  Zajazd", "Poland"
